symptoms,disease
"Severe pain, swelling, and inability to move the affected limb.",Long Bone Fracture
"Fatigue, jaundice, abdominal swelling, and bleeding.",Liver Dysfunction
"Cough, fever, and shortness of breath due to inhalation of oils.",Lipoid Pneumonia
"Fatigue, weakness, pale skin, shortness of breath.",Low Serum Iron
"Pain, numbness, tingling in the legs, weakness, and loss of reflexes.",Lumbar Radiculopathy
"Muscle weakness, cramps, fatigue, and palpitations.",Low Potassium Levels (Hypokalemia)
"Muscle weakness, stiffness, and difficulty with movement.",Lateral Sclerosis
"Pain, bleeding, and possible infection at the site of injury.",Laceration
"Insomnia, hallucinations, and severe weight loss.",Lethal Familial Insomnia
"Abdominal pain, nausea, vomiting, and jaundice from gallstones.",Lithiasis (Cholelithiasis)
"Swollen lymph nodes, fever, night sweats, weight loss.",Lymphadenopathy
"Painful swelling in the legs, easy bruising, and difficulty walking.",Lipoedema
"Difficulty in walking, uneven gait, pain in the back or hips.",Limb Length Discrepancy
"Bone pain, skin lesions, respiratory issues.",Langerhans Cell Histiocytosis
"Memory loss, confusion, difficulty with language, and changes in personality.",Late Onset Alzheimer’s Disease
"Weakness in the hip and shoulder muscles, difficulty climbing stairs or lifting objects.",Limb-Girdle Muscular Dystrophy
"Swelling, high blood pressure, changes in urine color or frequency, fatigue.",Lupus Nephritis
"Swelling in the limbs, pain, and skin changes in affected areas.",Lymphangiosarcoma
"Fatigue, weakness, elevated lipid levels, and related cardiovascular issues.",Lipid Metabolism Disorders
"Fever, chills, cough, and difficulty breathing.",Legionella Infection
"Headaches, neurological symptoms, seizures, and nausea.",Leptomeningeal Disease
"Memory problems, mood swings, and cognitive disturbances.",Limbic Dysfunction
"Progressive loss of motor skills, cognitive decline, and seizures.",Leukodystrophy
"Fatigue, weight loss, night sweats, and swollen lymph nodes.",Lymphoplasmacytic Lymphoma
Usually asymptomatic; may cause abdominal pain or fullness.,Liver Hemangioma
"Vertigo, hearing loss, and balance issues.",Labyrinthitis
"Abdominal pain, jaundice, swelling, and potential internal bleeding.",Liver Injury
"Syncope, palpitations, and risk of sudden cardiac death.",Long QT Syndrome
"Itchy, thickened patches of skin, often due to chronic scratching.",Lichen Simplex Chronicus
"Neurological symptoms including sleepiness, confusion, and seizures.",Lethargic Encephalitis
"Breast pain, swelling, redness, fever, and flu-like symptoms.",Lactation Mastitis
"Pain or cramping in the legs, especially during activity.",Leg Pain Syndrome
"Discomfort or pain in bright light, headaches, and squinting.",Light Sensitivity (Photophobia)
"Lower back pain, muscle spasms, stiffness, and difficulty moving.",Lumbosacral Strain
"Fatigue, depression, decreased libido, and muscle loss.",Low Testosterone (Hypogonadism)
"Swollen lymph nodes, fever, night sweats, weight loss, and fatigue.",Low-Grade Lymphoma
"Bloating, gas, diarrhea after consuming dairy products.",Lactose Deficiency
"Dizziness, swallowing difficulties, and pain or temperature sensation loss.",Lateral Medullary Infarct
"Pain in the lower back, stiffness, and discomfort.",Lumbago (Back Pain)
"Dizziness, fainting, fatigue, and confusion.",Low Blood Pressure (Hypotension)
"Noisy breathing (stridor), difficulty feeding, and poor weight gain in infants.",Laryngomalacia
"Headaches, fever, nausea, vomiting, and neck stiffness.",Lymphocytic Meningitis
"Symptoms of immune response; fatigue, fever, swelling of lymph nodes.",Lymphocyte Reactivity
"Hoarseness, difficulty breathing, and throat swelling.",Laryngeal Edema
"Elevated cholesterol and triglyceride levels, increasing cardiovascular risk.",Lipid Disorders
"Crop damage, leaf blight, and fruit rot.",Late Blight (Phytophthora Infestation)
"Fatigue, bleeding, bruising, frequent infections, fever.",Leukemia (Acute Myeloid)
"Swelling, tenderness, and discomfort in the affected area.",Lymphatic Cysts
"Fatigue, swelling, abdominal pain, and jaundice.",Liver Fibrosis
"Fatigue, fever, headache, and characteristic rash.",Lyme Borreliosis
"Lower back pain, stiffness, and sciatica-like symptoms.",Lumbar Spondylosis
"Motor deficits, weakness, and sensory disturbances.",Lateral Fasciculus Lesion
"Back pain, leg pain, and difficulty with movement.",Lumbosacral Spondylosis
"Headaches, seizures, cognitive changes, and neurological symptoms.",Leukoencephalitis
"Painful fatty lumps under the skin, especially in the limbs and trunk.",Lipomatosis
"Breast pain, swelling, and potential infection if not managed properly.",Lactation Suppression
"Abdominal pain, diarrhea, bloating after dairy consumption.",Lactose-Intolerant Colitis
"Swelling in the limbs, face, or neck, sometimes painful.",Lymphatic Malformation
"Weakness in the legs, difficulty walking, and balance issues.",Leg Weakness
"Obesity, hyperphagia, and metabolic disturbances.",Leptin Receptor Deficiency
"Blood clots, pregnancy complications, and autoimmune symptoms.",Lupus Anticoagulant Syndrome
"Confusion, altered level of consciousness, and in severe cases, coma.",Liver Encephalopathy
"Rash, fever, joint pain, and fatigue.",Lymphocytic Vasculitis
"Fever, rash, swollen lymph nodes, red eyes, and swollen hands and feet.",Kawasaki Disease
"Low testosterone, infertility, breast tissue development, and tall stature.",Klinefelter Syndrome
"Eye pain, redness, blurred vision, light sensitivity, and tearing.",Keratitis
"Joint pain, stiffness, swelling, and reduced mobility in the knee.",Knee Osteoarthritis
"Distorted vision, sensitivity to light, and frequent changes in prescription glasses.",Keratoconus
"Severe pain in the back or side, blood in urine, nausea, and frequent urination.",Kidney Stones
"Cough, weight loss, night sweats, fever, and chest pain.",Koch’s Disease (Tuberculosis)
"Redness, discharge, itching, and tearing of the eyes.",Keratoconjunctivitis
"Swelling, warmth, and tenderness around the knee joint.",Knee Bursitis
"Raised, thickened areas of scar tissue that may itch or be painful.",Keloids
"Fever, rash, swollen lymph nodes, and irritability in children.",Kawasaki Syndrome
"Thick, raised scars that grow beyond the original injury site.",Keloid Scarring
"Bone pain, deformities, and fractures due to abnormal bone growth.",Kucchaar (Fibrous Dysplasia)
"Red, purple, or brown skin lesions, swelling, and pain.",Kaposi's Sarcoma
"Difficulty with coordination, balance issues, and speech difficulties.",Kumar’s Syndrome (Cerebellar Ataxia)
"Delayed puberty, lack of sense of smell, and infertility.",Kallmann Syndrome
"Pain, swelling, stiffness, and difficulty bending or straightening the knee.",Knee Meniscus Tear
"Dryness, redness, burning sensation, and blurred vision.",Keratitis Sicca (Dry Eye Syndrome)
"Memory loss, confusion, and fabrication of memories (confabulation).",Korsakoff Syndrome
"Fatigue, swelling, changes in urination, and high blood pressure.",Kidney Disease
"Eye pain, irritation, and blurred vision due to exposure.",Keratitis Exposita
"Nausea, vomiting, abdominal pain, and diarrhea.",Knotweed Poisoning
"Small, rough bumps on the skin, usually on the arms and thighs.",Keratosis Pilaris
"Muscle weakness, irritability, loss of vision, and hearing loss.",Krabbe Disease
"Black spores on wheat, reduced yield, and affected grain quality.",Karnal Bunt
"Blurred vision, discomfort, and potential vision loss.",Keratopathy
"Fatigue, nausea, swelling, and changes in urination patterns.",Kidney Failure
"Forward rounding of the back, back pain, and stiffness.",Kyphosis
Delayed or absent puberty and an impaired sense of smell.,Kallmann's Syndrome
"Nausea, vomiting, abdominal pain, weakness, and rapid breathing (often in diabetics).",Ketoacidosis
"Infertility, low testosterone, and taller than average stature.",Klinefelter Syndrome
Thickened skin lesions that may be painful or itchy.,Keratoma
"Energy deficits, developmental delays, and metabolic disturbances.",Krebs Cycle Deficiencies
"Fatigue, weight changes, and hormonal imbalances.",Kumar's Disease (Hypopituitarism)
"Knee deformity, pain, and difficulty walking.",Knock-Knee (Genu Valgum)
"Blurred vision, eye discomfort, and potential vision loss.",Keratopathy (Corneal Dystrophy)
"Fever, headache, stiff neck, and sensitivity to light.",Kumar's Disease (Meningitis)
"Raised, thickened scars that may itch or be painful.",Keloidal Scar Formation
"Skin lesions, swelling, and pain associated with HIV.",Kaposi's Sarcoma (HIV-associated)
"Fever, back pain, nausea, vomiting, and frequent urination.",Kidney Infection (Pyelonephritis)
"Abdominal pain, bloating, and gastrointestinal symptoms.",Krukenberg Tumor
Severe distortion of vision and difficulty with glare.,Keratoconus (Advanced)
"Abdominal pain, hematuria, and flank pain.",Kidney Papillary Necrosis
"Memory loss, confabulation, and apathy often due to alcohol abuse.",Korsakoff's Psychosis
"Fever, lymphadenopathy, and malaise.",Kikuchi Disease
"Muscle weakness, fatigue, and joint pain due to mechanical issues.",Kinematic Disease
"Birthmarks, varicose veins, and limb overgrowth.",Klippel-Trenaunay Syndrome
"Bone pain, fatigue, kidney problems, and increased infections.",Kahler's Disease (Multiple Myeloma)
"Night blindness, tunnel vision, and progressive vision loss.",Keratitis Pigmentosa
Delayed puberty and an impaired sense of smell.,Kallmann Syndrome (Genetic)
Often asymptomatic but may cause pain and discomfort.,Kidney Cysts
Muscle weakness and fatigue affecting the proximal muscles.,Kumar's Disease (Myopathy)
"Pain and swelling in joints, particularly during cold weather.",Kryofrontomy
"Short neck, limited neck movement, and abnormal cervical vertebrae.",Klippel-Feil Syndrome
"Developmental delays, hypotonia, and distinct facial features.",Kleefstra Syndrome
"Eye irritation, redness, and excessive tearing due to dryness.",Keratoconjunctivitis Sicca
Movement disorders leading to stiffness and difficulty with coordination.,Kinesia
Painful blisters in the cornea leading to vision problems.,Keratitis Bullosa
Rapidly growing skin lesion that resembles squamous cell carcinoma.,Keratoacanthoma
Neurological symptoms such as muscle weakness and seizures due to metabolic disorders.,Kryptonite Syndrome
"Pain and swelling in the knee, particularly around the patellar tendon.",Knee Tendinitis
"High blood pressure, fluid retention, and renal insufficiency.",Kidney Vascular Disease
"Pain, swelling, and decreased range of motion in the knee joint.",Knee Cartilage Injury
"Fever, lymphadenopathy, and night sweats.",Kikuchi-Fujimoto Disease
"High blood pressure, headaches, and fatigue.",Kidney-Related Hypertension
"Fever, lymphadenopathy, and malaise.",Kikuchi Disease
"Eye pain, redness, discharge, and blurred vision.",Keratitis with Ulceration
"A device to record pressure fluctuations, often associated with respiratory diseases.",Kymograph
"Thickened patches of skin, often in areas of friction.",Keratotic Acanthosis
A rare autoimmune disorder causing skin lesions and systemic symptoms.,Kumamoto Disease
"Developmental delays, physical abnormalities, and increased risk of genetic disorders.",Karyotype Abnormalities
Wrist pain and stiffness due to avascular necrosis of the lunate bone.,Kienbock Disease
"Extreme fatigue, sleep disturbances, and cognitive difficulties.",Kumar's Disease (Chronic Fatigue Syndrome)
"Abdominal pain, bloating, and changes in bowel habits.",Krukenberg Tumor (Ovarian Cancer)
"Severe pain, swelling, and difficulty bearing weight on the affected leg.",Knee Fracture
Wrist pain and swelling due to avascular necrosis of the lunate bone.,Kienbock's Disease
"Abnormal curvature of the spine, back pain, and respiratory issues.",Kyphoscoliosis
"Severe pain, swelling, and deformity in the knee joint.",Knee Dislocation
Compulsive stealing and feelings of tension before the act and relief afterward.,Kleptomania
Physical and psychological disturbances often associated with spiritual practices.,Kundalini Syndrome
Back pain and neurological symptoms due to vertebral fractures.,Kummell's Disease
"Nausea, vomiting, abdominal pain, and altered consciousness.",Ketoacidosis in Diabetes
Sudden onset of neurological deficits without a known cause.,Kryptogenic Stroke
"Prolonged bleeding, easy bruising, and joint pain.",Kumar's Disease (Hemophilia)
"Pain at the biopsy site, bleeding, and infection.",Kidney Biopsy Complications
"Bone pain, anemia, fatigue, and increased infections.",Kahler's Disease
Vision impairment and discomfort post-surgery.,Keratoplasty (Corneal Transplant)
"Back pain, height loss, and vertebral deformities.",Kummell's Disease (Vertebral Osteoporosis)
"Itching, redness, and discharge in the eyes due to allergens.",Keratoconjunctivitis with Allergies
"Weak muscle tone, delayed motor skills, and potential developmental delays.",Kumar's Disease (Hypotonia)
"Low testosterone levels, infertility, and learning difficulties.",Klinefelter Syndrome (XXY)
Severe memory issues and confabulation due to thiamine deficiency.,Korsakoff Syndrome (Alcoholic)
"Joint pain, swelling, and locking of the knee joint.",Knee Osteochondritis Dissecans
"Redness, pain, and light sensitivity in the eyes.",Keratogenic Conjunctivitis
"Pain, swelling, and instability in the knee joint.",Knee Ligament Injury
"Fever, weight loss, abdominal pain, and hematuria.",Kidney Tuberculosis
"Swelling, fever, and changes in urination.",Kidney Inflammation (Nephritis)
"Pain in the heel, especially with weight-bearing activities.",Keller's Disease (Severe Plantar Fasciitis)
"Small, rough bumps on the skin, often painless.",Keratotic Papules
Muscle weakness and wasting due to nerve damage or dysfunction.,Kumar's Syndrome (Neuromuscular)
"Redness, pain, and blurred vision due to lens-related complications.",Keratitis from Contact Lenses
"Severe jaundice, neurological deficits, and hearing loss due to bilirubin accumulation.",Kernicterus
"Numbness, tingling, and weakness in the limbs.",Kumar's Disease (Peripheral Neuropathy)
"Developmental delays, reduced muscle mass, and fertility issues.",Klinefelter's Syndrome
"Urinary tract infections, pain, and potential kidney damage.",Kidney Reflux Disease
Persistent pain that lasts beyond the expected healing time.,Kumar's Disease (Chronic Pain)
"Rejection, infection, and changes in kidney function.",Kidney Transplant Complications
"Swelling, abdominal pain, and changes in urination.",Kidney Fibrosis
"Pain and difficulty moving the knee joint, especially during activities.",Knee Impingement Syndrome
"Severe jaundice, lethargy, and neurological damage in newborns.",Kernicterus due to Hemolytic Disease
"Difficulty processing sensory information, leading to anxiety or discomfort.",Kumar's Disease (Sensory Processing Disorder)
"Eye pain, redness, tearing, and blurred vision due to UV exposure.",Keratitis from UV Light
"Abdominal pain, hematuria, and potential kidney failure.",Kidney Cystic Disease
Joint pain and stiffness due to bone spurs in the knee.,Knee Osteophytes
"Fatigue, weakness, and pallor due to reduced red blood cell production.",Kidney-Related Anemia
"Abdominal pain, hematuria, and signs of internal bleeding.",Kidney Hemorrhage
"Joint pain, swelling, and decreased range of motion.",Knee Articular Cartilage Defect
"Pain, stiffness, and swelling in the knee, especially during movement.",Knee Joint Osteoarthritis
Developmental delays and metabolic abnormalities.,Kronor's Disease (Genetic Metabolic Disorder)
Persistent fatigue and sleep disturbances without medical explanations.,Kumar's Syndrome (Chronic Fatigue Syndrome)
Sudden loss of kidney function leading to fluid overload and electrolyte imbalances.,Kidney Failure (Acute)
"Respiratory symptoms, including cough, wheezing, and shortness of breath.",Kuwait Disease (Chronic Respiratory Issues)
Developmental delays and physical abnormalities.,Kollmann's Disease (Rare Genetic Disorder)
"Nasal congestion, loss of smell, and facial pain.",Nasal Polyps
"Swelling, fatigue, changes in urination, and high blood pressure.",Nephritis
"Numbness, tingling, weakness, and pain in the affected area.",Neuropathy
"Tumors on nerves, skin changes, and bone deformities.",Neurofibromatosis
"Stomach discomfort, vomiting, and loss of appetite.",Nausea
"Fatigue, weakness, and various symptoms depending on the deficiency (e.g., anemia).",Nutritional Deficiencies
"Difficulty breathing through the nose, sneezing, and runny nose.",Nasal Congestion
"Severe pain in the back or side, blood in urine, nausea, and frequent urination.",Nephrolithiasis (Kidney Stones)
"Enlargement of the liver and spleen, developmental delays, and neurological issues.",Niemann-Pick Disease
"Progressive loss of structure or function of neurons, leading to muscle weakness and loss of coordination.",Neurodegeneration
"Unconsciousness, shallow breathing, and pinpoint pupils.",Narcotic Overdose
"Swelling, fatigue, changes in urination, and high blood pressure.",Nephropathy
"Swelling in the neck, difficulty swallowing or breathing, and changes in hormone levels.",Nodular Goiter
"Dark, asymmetrical moles that may bleed or itch.",Nodular Melanoma
"Pain during urination, discharge from the urethra, and pelvic pain.",Nonspecific Urethritis
"Seizures, headaches, and neurological deficits due to cysts in the brain.",Neurocysticercosis
Excessive thirst and urination due to a kidney's inability to concentrate urine.,Nephrogenic Diabetes Insipidus
"Excessive daytime sleepiness, sudden sleep attacks, and sleep paralysis.",Narcolepsy
"Swelling of the liver and spleen, neurological issues, and developmental delays.",Niemann-Pick Disease
"Swelling of lymph nodes, fever, night sweats, and unexplained weight loss.",Non-Hodgkin Lymphoma
"Incontinence, urinary retention, and frequent urination due to nerve dysfunction.",Neurogenic Bladder
"Fatigue, abdominal discomfort, and elevated liver enzymes.",Non-alcoholic Fatty Liver Disease (NAFLD)
"Bone pain, delayed growth, and deformities in children due to vitamin D deficiency.",Nutritional Rickets
"Abdominal swelling, pain, fever, and hematuria in children.",Nephroblastoma (Wilms Tumor)
"Pain, weakness, and inflammation of the nerves.",Neuritis
Blurred vision and glare due to lens changes in the eye.,Nuclear Sclerosis
"Fever, headache, confusion, and neck stiffness due to infections affecting the nervous system.",Neuroinfections
"Fatigue, pallor, and weakness due to inadequate iron or vitamin B12 intake.",Nutritional Anemia
"Nasal congestion, difficulty breathing, and sinus infections.",Nasal Septum Deviation
"Swelling and tenderness along the lymphatic vessels, often due to infection.",Nodular Lymphangitis
Localized pain and stiffness in the back without a specific cause.,Non-specific Back Pain
Symptoms vary widely depending on the type and location of the tumor.,Neoplastic Diseases
"Pain, swelling, and difficulty breathing through the nose.",Nasal Fractures
"Abdominal pain, lump in the abdomen, fatigue, and weight loss in children.",Neuroblastoma
Asymptomatic in early stages; later may present with specific symptoms based on the organ involved.,Non-invasive Cancer
"Nausea, vomiting, and allergic reactions post-treatment.",Nuclear Medicine Side Effects
"Discoloration, thickening, and separation of the nail from the nail bed.",Nail Fungus
"Intense itching, redness, and nodules on the skin due to scabies infestation.",Nodular Scabies
"Nausea, vomiting, and decreased urine output due to kidney damage from toxins.",Nephrotoxicity
Chronic pain due to nerve injury or dysfunction.,Neurogenic Pain
"Pain, infection, and changes in kidney function after surgery.",Nephrectomy Complications
"Spina bifida, anencephaly, and other abnormalities affecting the spine and brain.",Neural Tube Defects
"Severe anxiety, depression, and inability to cope with stress.",Nervous Breakdown
"Redness, swelling, and pain at the entrance of the nostrils.",Nasal Vestibulitis
"Cough, fever, and skin lesions caused by Nocardia bacteria.",Nocardiosis
Involuntary eye movements leading to vision problems and balance issues.,Nystagmus
"Cafe-au-lait spots, neurofibromas, and skeletal abnormalities.",Neurofibromatosis Type 1
"Fatigue, jaundice, and abdominal pain due to liver inflammation.",Non-viral Hepatitis
"Severe pain, fever, and swelling due to a rapidly spreading infection in the soft tissues.",Necrotizing Fasciitis
"Fatigue, abdominal discomfort, and signs of liver damage.",Nonalcoholic Steatohepatitis (NASH)
"Sneezing, runny nose, and nasal congestion due to irritants.",Nasal Irritation
"Itchy, coin-shaped patches of eczema on the skin.",Nummular Eczema
Yellowing of the skin and eyes in newborns due to high bilirubin levels.,Neonatal Jaundice
"Abdominal pain, bloating, diarrhea, and malnutrition.",Nutritional Bowel Disorders
"Sneezing, runny nose, and itchy eyes due to allergens.",Nasal Congestion due to Allergies
"Fatigue, fever, weight loss, and neurological symptoms due to sarcoidosis affecting the nervous system.",Neurosarcoidosis
"Pain during urination, pelvic pain, and discomfort in the genital area.",Nonbacterial Prostatitis
Thickening and hardening of the skin and connective tissues due to gadolinium exposure.,Nephrogenic Systemic Fibrosis
"Headaches, nausea, and neurological symptoms due to cancer spread to the meninges.",Neoplastic Meningitis
"Tingling, numbness, and weakness in the limbs due to nutritional deficiencies.",Nutritional Peripheral Neuropathy
"Fever, lethargy, and difficulty feeding in newborns due to systemic infection.",Neonatal Sepsis
Symptoms vary widely depending on the specific disorder and the part of the nervous system affected.,Neurological Disorders
"Burning, shooting, or stabbing pain due to nerve damage.",Neuropathic Pain
"Cough, fever, and abscess formation in the skin and lungs due to Nocardia bacteria.",Nocardia Infections
"Pitting, ridging, and discoloration of the nails associated with psoriasis.",Nail Psoriasis
"Symptoms vary widely, including confusion, seizures, and muscle weakness due to toxic exposure.",Neurotoxicity
Abdominal pain and bloating due to lymphatic obstruction.,Nodular Sclerosis
"Nausea, vomiting, and skin burns due to exposure to radiation.",Nuclear Radiation Exposure
"Decreased urine output, swelling, and elevated blood pressure due to kidney damage.",Nephrotoxic Medications
"Pain, redness, and swelling at the nostrils due to infection or irritation.",Nasal Vestibulitis
"Severe muscle rigidity, fever, and altered mental status due to adverse reactions to antipsychotic medications.",Neuroleptic Malignant Syndrome
"Pain, swelling, bruising, and deformity of the nose.",Nasal Bone Fracture
"Symptoms include mood changes, cognitive impairment, and personality changes.",Neuropsychological Disorders
Withdrawal symptoms in newborns due to maternal substance use during pregnancy.,Neonatal Abstinence Syndrome
"Sneezing, itching, nasal congestion, and runny nose due to allergens.",Nasal Allergy
"Swollen lymph nodes, fever, night sweats, and unexplained weight loss.",Non-Hodgkin's Lymphoma
"Symptoms vary widely depending on the specific deficiency (e.g., scurvy, beriberi).",Nutritional Deficiencies
"Symptoms include mood changes, anxiety, and cognitive impairments.",Neuropsychiatric Disorders
"Bone pain, muscle weakness, and deformities due to vitamin D deficiency.",Nutritional Osteomalacia
Developmental delays and neurological deficits due to abnormal brain cell migration during fetal development.,Neuronal Migration Disorders
Difficulty swallowing due to neurological conditions.,Neurogenic Dysphagia
"Red, inflamed lumps on the skin caused by acne.",Nodular Acne
"Fever, irritability, and poor feeding in newborns due to meningitis.",Neonatal Meningitis
"Fatigue, abdominal discomfort, and elevated liver enzymes.",Nonalcoholic Fatty Liver Disease
"Increased ketones in the blood due to low carbohydrate intake, leading to fatigue and headache.",Nutritional Ketosis
"Pain, stiffness, and discomfort in the neck area.",Neck Pain (Cervicalgia)
"Seizure-like symptoms without electrical discharges in the brain, often related to psychological factors.",Non-epileptic Seizures
Bilateral vestibular schwannomas leading to hearing loss and balance issues.,Neurofibromatosis Type 2
"Fatigue, unexplained weight loss, and pain without a clear cause.",Non-specific Symptoms of Cancer
"Pain, swelling, and difficulty breathing through the nose.",Nasal Bone Fractures
"Pain, bleeding, and loss of the nail due to trauma.",Nail Avulsion
"Hypotension, bradycardia, and loss of reflexes due to spinal cord injury.",Neurogenic Shock
"Fatigue, weakness, and pale skin due to insufficient iron levels.",Nutritional Anemia (Iron Deficiency)
"Pelvic pain, urinary issues, and discomfort during sexual activity.",Non-bacterial Prostatitis
"Nausea, vomiting, and confusion due to fluid imbalance.",Nephrogenic Syndrome of Inappropriate Antidiuretic Hormone (SIADH)
"Muscle weakness, fatigue, and difficulty in movement.",Neuromuscular Disease
"Fatigue, neurological symptoms, and gastrointestinal issues due to toxic exposure.",Neurotoxicity from Heavy Metals
"Nasal congestion, sneezing, and runny nose due to environmental triggers.",Nasal Vasomotor Rhinitis
"Vision loss, pain with eye movement, and color vision deficiencies.",Neuritis (Optic Nerve)
"Discoloration, thickening, and separation of the nail from the nail bed.",Nail Fungus (Onychomycosis)
"Lethargy, feeding difficulties, and seizures in newborns due to low blood sugar.",Neonatal Hypoglycemia
"Symptoms vary widely based on the disease (e.g., Alzheimer's, Parkinson's).",Neurodegenerative Diseases
"Severe pain in the flank, hematuria, and nausea.",Nephrolithiasis (Ureteral Stones)
"Weight gain, sedation, and extrapyramidal symptoms from antipsychotic medications.",Neuroleptic Side Effects
"Rapidly growing lumps under the skin, often mistaken for sarcoma.",Nodular Fasciitis
Pain and tenderness at nerve locations due to abnormal growth of nerve tissue.,Neuromas
"Fatigue, infections, and autoimmunity due to immune system dysfunction.",Non-specific Immune Disorders
"Nausea, vomiting, and changes in urination due to kidney damage from medications.",Nephrotoxic Effects of Certain Drugs
"Facial pain, pressure, and difficulty breathing through the nose.",Nasal Congestion due to Sinusitis
Increased susceptibility to infections due to low white blood cell count.,Neutropenia
Fatigue and weakness requiring dietary modifications or supplements.,Nutritional Support Needs
Impaired brain adaptability affecting learning and recovery from injuries.,Neuroplasticity Disorders
"Swollen lymph nodes, fever, night sweats, and unexplained weight loss.",Non-Hodgkin's Lymphoma (B-cell and T-cell)
"Morning sickness characterized by nausea and vomiting, particularly in the first trimester.",Nausea and Vomiting of Pregnancy (NVP)
"Pain, swelling, and potential loss of the nail following injury.",Nail Trauma
"Excess body fat, fatigue, joint pain, and increased risk of other diseases.",Obesity
"Joint pain, stiffness, swelling, and decreased range of motion.",Osteoarthritis
"Bone fractures, back pain, and loss of height due to weakened bones.",Osteoporosis
"Ear pain, fever, irritability, and fluid drainage from the ear.",Otitis Media
"Increased pressure in the eye, possible vision changes without symptoms initially.",Ocular Hypertension
"Visual disturbances, headache, and temporary vision loss.",Ocular Migraine
"Painful sores on the eyelids, redness, and sensitivity to light.",Ophthalmic Herpes Simplex
"Loud snoring, gasping for air during sleep, and daytime sleepiness.",Obstructive Sleep Apnea
"Bone pain, fever, swelling, and redness over the affected area.",Osteomyelitis
"Pelvic pain, irregular menstrual cycles, and pressure symptoms.",Ovarian Cysts
"Mouth sores, difficulty swallowing, and persistent mouth pain.",Oral Cancer
"Ear discharge, often associated with infections.",Otorrhea
"Discoloration, thickening, and separation of the nail from the nail bed due to fungal infection.",Onychomycosis
"Eye movement limitations, double vision, and drooping eyelids.",Ophthalmoplegia
"Fragile bones, frequent fractures, and blue sclera.",Osteogenesis Imperfecta
"Dryness, redness, burning, and blurred vision.",Ocular Surface Disorder
"Swelling of the testicles, pain, fever, and sometimes nausea.",Orchitis
"Chronic cough, wheezing, shortness of breath, and fatigue.",Obstructive Pulmonary Disease (COPD)
"Bone pain, swelling, and possible fractures.",Osteosarcoma
"White patches in the mouth, pain, and difficulty swallowing.",Oral Thrush
Abdominal contents protruding through the umbilical area in infants.,Omphalocele
"Cravings, withdrawal symptoms, and compulsive drug-seeking behavior.",Opioid Dependence
"Bone pain, muscle weakness, and increased risk of fractures.",Osteomalacia
"Ear canal inflammation, itching, redness, and discharge.",Otitis Externa
"Decreased urine output, which may indicate kidney problems.",Oliguria
"Intrusive thoughts, compulsive behaviors, and anxiety.",Obsession-Compulsive Disorder (OCD)
Obsession with healthy eating leading to nutritional deficiencies.,Orthorexia
"Fever, headache, and neck stiffness due to infection spreading from the ear to the meninges.",Otogenic Meningitis
"Infections due to weakened immune systems, symptoms vary based on the pathogen.",Opportunistic Infections
"Frequent urination, urgency, and nocturia (nighttime urination).",Overactive Bladder
"Seizures, headaches, and neurological symptoms due to brain tumor.",Oligodendroglioma
"White patches, sores in the mouth, and discomfort.",Oral Lichen Planus
"Bone pain, deformities, and fractures due to abnormal bone remodeling.",Osteitis Deformans (Paget's Disease)
"Kidney stones, renal failure, and calcium oxalate crystal deposition.",Oxalosis
"Ear fullness, hearing loss, and sometimes mild pain or discomfort.",Otitis Media with Effusion
Asymptomatic in early stages; later may cause symptoms based on the affected organ.,Oncocytoma
"Joint pain, swelling, and stiffness in children.",Oligoarticular Juvenile Idiopathic Arthritis
"Abdominal bloating, pelvic pain, and changes in bathroom habits.",Ovarian Cancer
"Nausea, vomiting, confusion, and potentially life-threatening symptoms.",Overdose (Drug)
"Painful urination, hematuria, and flank pain due to urinary tract obstruction.",Obstructive Uropathy
"Vision changes, eye pain, and dark spots in the eye.",Ocular Melanoma
Low sperm count leading to fertility issues.,Oligospermia
"Abdominal pain, bloating, and nausea after fertility treatments.",Ovarian Hyperstimulation Syndrome
"Respiratory issues, throat irritation, and exacerbation of asthma.",Ozone Exposure Effects
"Itching, especially on the hands and feet, and jaundice during pregnancy.",Obstetric Cholestasis
"Bone pain, swelling, and sometimes fractures.",Osteosarcoma
"Itching, redness, and watery eyes due to allergens.",Ocular Allergies
Painful blisters on the lips and around the mouth.,Oral Herpes (Cold Sores)
"Joint pain, swelling, and decreased range of motion due to bone and cartilage issues.",Osteochondritis Dissecans
Various symptoms depending on the complication during pregnancy and childbirth.,Obstetric Complications
Joint pain and stiffness due to decreased blood flow to bones.,Osteonecrosis
"Irregular periods, heavy bleeding, or absence of menstruation.",Onset of Menstruation Disorders
"Separation of the nail from the nail bed, often painless.",Onycholysis
"Eye redness, pain, and blurred vision due to inflammation of the uvea.",Ocular Inflammation (Uveitis)
"Daytime fatigue, shortness of breath, and sleep apnea symptoms.",Obesity Hypoventilation Syndrome
"Cleft lip and/or palate, affecting feeding and speech development in infants.",Orofacial Clefts
"Nausea, vomiting, diarrhea, and neurological symptoms due to pesticide exposure.",Organophosphate Poisoning
"Fatigue, muscle weakness, and various symptoms related to cell damage.",Oxidative Stress Disorders
"Abdominal organs outside the body at birth, requiring surgical intervention.",Omphalocele
Nail shedding due to trauma or illness.,Onychomadesis
"Eye pain, swelling, and redness due to infection behind the eye.",Orbital Cellulitis
"Vision loss, pain with eye movement, and possible color vision deficits.",Optic Neuritis
